Date,Time,Width,Height
2024-07-10,09:34:22.594010,640,444
2024-07-10,09:34:22.642335,640,438
2024-07-10,09:34:22.694509,640,438
2024-07-10,09:34:22.743931,640,444
2024-07-10,09:34:22.795221,640,438
2024-07-10,09:34:22.844250,640,438
2024-07-10,09:34:22.890513,640,450
2024-07-10,09:34:22.942565,640,438
2024-07-10,09:34:22.989197,640,438
2024-07-10,09:34:25.511869,44,21
2024-07-10,09:34:26.594346,577,287
2024-07-10,09:34:27.004702,367,257
2024-07-10,09:34:29.315809,400,288
2024-07-10,09:34:30.005810,97,29
2024-07-10,09:34:30.051648,98,31
2024-07-10,09:34:30.199772,76,27
2024-07-10,09:34:30.244260,76,26
2024-07-10,09:34:30.295925,79,26
2024-07-10,09:34:30.344315,73,23
2024-07-10,09:34:30.391478,85,28
2024-07-10,09:34:30.438158,80,27
2024-07-10,09:34:30.440940,51,23
2024-07-10,09:34:30.489971,86,25
2024-07-10,09:34:30.718916,47,23
2024-07-10,09:34:33.266117,68,26
2024-07-10,09:34:33.494141,82,14
2024-07-10,09:34:34.544684,79,31
2024-07-10,09:34:34.820441,127,34
2024-07-10,09:34:35.276003,64,25
2024-07-10,09:34:35.547565,48,90
2024-07-10,09:34:36.040870,640,408
2024-07-10,09:34:36.136250,640,413
2024-07-10,09:34:36.231085,640,419
2024-07-10,09:34:36.275848,640,413
2024-07-10,09:34:37.060270,161,111
2024-07-10,09:34:37.104473,640,425
2024-07-10,09:34:37.149636,640,444
2024-07-10,09:34:37.193615,640,444
2024-07-10,09:34:37.958286,41,11
2024-07-10,09:34:38.676929,640,457
2024-07-10,09:34:38.718183,640,444
2024-07-10,09:34:38.766251,640,438
2024-07-10,09:34:38.812709,640,444
2024-07-10,09:34:38.859337,640,438
2024-07-10,09:34:38.907417,640,438
2024-07-10,09:34:38.954067,640,438
2024-07-10,09:34:39.001238,640,438
2024-07-10,09:34:39.045484,640,431
2024-07-10,09:34:39.093945,640,438
2024-07-10,09:34:39.141707,640,444
2024-07-10,09:34:39.190932,640,444
2024-07-10,09:34:39.235448,640,438
2024-07-10,09:34:40.286724,640,444
2024-07-10,09:34:40.332173,640,444
2024-07-10,09:34:40.379494,640,438
2024-07-10,09:34:40.427147,640,444
2024-07-10,09:34:40.475580,640,444
2024-07-10,09:34:40.523875,640,444
2024-07-10,09:34:40.576935,640,438
2024-07-10,09:34:40.624226,640,444
2024-07-10,09:34:40.673708,640,444
2024-07-10,09:34:40.719506,640,450
2024-07-10,09:34:40.766343,640,450
2024-07-10,09:34:40.832259,640,450
2024-07-10,09:34:40.891991,640,457
2024-07-10,09:34:40.950270,640,457
2024-07-10,09:34:41.006514,640,450
2024-07-10,09:34:41.054070,640,463
2024-07-10,09:34:41.112999,640,480
2024-07-10,09:34:41.163902,640,480
2024-07-10,09:34:41.654792,640,470
2024-07-10,09:34:41.708579,640,470
2024-07-10,09:34:41.757165,640,470
2024-07-10,09:34:41.804177,640,457
2024-07-10,09:34:41.852345,640,463
2024-07-10,09:34:41.899490,640,480
2024-07-10,09:34:42.220269,640,457
2024-07-10,09:34:42.266030,640,457
2024-07-10,09:34:42.548344,640,450
2024-07-10,09:34:42.593193,640,450
2024-07-10,09:34:42.646175,640,450
2024-07-10,09:34:42.700780,640,463
2024-07-10,09:34:42.762095,640,463
2024-07-10,09:34:42.814665,640,450
2024-07-10,09:34:43.515331,149,32
2024-07-10,09:34:44.148744,94,34
2024-07-10,09:34:44.195842,97,32
2024-07-10,09:34:44.196679,183,61
2024-07-10,09:34:44.586753,175,54
2024-07-10,09:34:44.631047,155,30
2024-07-10,09:34:44.679320,54,21
2024-07-10,09:34:44.733484,180,29
2024-07-10,09:34:44.786889,190,27
2024-07-10,09:34:44.883140,151,33
2024-07-10,09:34:44.933704,161,58
2024-07-10,09:34:46.470722,72,41
2024-07-10,09:34:47.802813,147,50
2024-07-10,09:34:47.853308,154,52
2024-07-10,09:34:48.005510,178,55
2024-07-10,09:34:48.006218,104,33
2024-07-10,09:34:48.060550,124,35
2024-07-10,09:34:48.108642,163,58
2024-07-10,09:34:53.294174,34,20
2024-07-10,09:34:53.431383,27,18
2024-07-10,09:34:55.310758,42,24
2024-07-10,09:34:55.544577,42,24
2024-07-10,09:34:56.265910,44,26
2024-07-10,09:34:56.357683,45,26
2024-07-10,09:35:04.294130,640,457
2024-07-10,09:35:04.341162,640,463
2024-07-10,09:35:04.391590,640,457
2024-07-10,09:35:04.441204,640,444
2024-07-10,09:35:04.485592,640,444
2024-07-10,09:35:04.582698,640,450
Date,Time,Width,Height
2024-07-11,09:44:54.144702,491,241
2024-07-11,09:44:54.189414,463,245
2024-07-11,09:44:54.238942,444,228
2024-07-11,09:44:54.289530,484,241
2024-07-11,09:44:54.337593,444,238
2024-07-11,09:44:54.386738,444,245
2024-07-11,09:44:54.597358,438,235
2024-07-11,09:44:54.694592,444,249
2024-07-11,09:44:54.843015,407,276
2024-07-11,09:44:54.888517,413,272
2024-07-11,09:44:55.259302,450,300
2024-07-11,09:44:55.619052,412,283
2024-07-11,09:44:55.662471,437,288
2024-07-11,09:44:55.710431,418,279
2024-07-11,09:44:55.901923,378,271
2024-07-11,09:44:55.955932,395,252
2024-07-11,09:44:56.004761,406,252
2024-07-11,09:44:56.285241,384,238
2024-07-11,09:44:56.377574,384,249
2024-07-11,09:44:56.427708,378,263
2024-07-11,09:44:56.488166,389,267
2024-07-11,09:44:56.595610,395,271
2024-07-11,09:44:56.878819,93,11
2024-07-11,09:44:59.113617,450,249
2024-07-11,09:44:59.160236,437,235
2024-07-11,09:44:59.211795,431,241
2024-07-11,09:44:59.262501,431,241
2024-07-11,09:44:59.311063,444,249
2024-07-11,09:44:59.362641,425,238
2024-07-11,09:44:59.879446,444,271
2024-07-11,09:44:59.925921,504,268
2024-07-11,09:45:00.113197,437,271
2024-07-11,09:45:00.159253,431,267
2024-07-11,09:45:00.207329,418,263
2024-07-11,09:45:00.308708,406,260
2024-07-11,09:45:00.405695,373,263
2024-07-11,09:45:00.555147,418,296
2024-07-11,09:45:00.653269,373,263
2024-07-11,09:45:00.706513,425,283
2024-07-11,09:45:02.618708,85,10
